"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"21:11:40:20","A002C006_230418_R073","","0","","","","-21.6","13","ARRI ALEXA Mini"
"21:11:40:21","A002C006_230418_R073","","0","","","","-21.8","9.2","ARRI ALEXA Mini"
"21:11:40:22","A002C006_230418_R073","","0","","","","-22.2","3.8","ARRI ALEXA Mini"
"21:11:40:23","A002C006_230418_R073","","0","","","","-22.9","-0.7","ARRI ALEXA Mini"
"21:11:41:00","A002C006_230418_R073","","0","","","","-23.5","-4.6","ARRI ALEXA Mini"
"21:11:41:01","A002C006_230418_R073","","0","","","","-23.6","-6.2","ARRI ALEXA Mini"
"21:11:41:02","A002C006_230418_R073","","0","","","","-22.2","-6.6","ARRI ALEXA Mini"
"21:11:41:03","A002C006_230418_R073","","0","","","","-19.5","-6.1","ARRI ALEXA Mini"
"21:11:41:04","A002C006_230418_R073","","0","","","","-18.2","-4.4","ARRI ALEXA Mini"
"21:11:41:05","A002C006_230418_R073","","0","","","","-17.9","-2.9","ARRI ALEXA Mini"
"21:11:41:06","A002C006_230418_R073","","0","","","","-18.2","-0.9","ARRI ALEXA Mini"
"21:11:41:07","A002C006_230418_R073","","0","","","","-18.1","1.1","ARRI ALEXA Mini"
"21:11:41:08","A002C006_230418_R073","","0","","","","-17.7","3.4","ARRI ALEXA Mini"
"21:11:41:09","A002C006_230418_R073","","0","","","","-17.2","6.7","ARRI ALEXA Mini"
"21:11:41:10","A002C006_230418_R073","","0","","","","-16.6","9.9","ARRI ALEXA Mini"
"21:11:41:11","A002C006_230418_R073","","0","","","","-16.3","14.6","ARRI ALEXA Mini"
"21:11:41:12","A002C006_230418_R073","","0","","","","-16.7","17.6","ARRI ALEXA Mini"
"21:11:41:13","A002C006_230418_R073","","0","","","","-17","20.8","ARRI ALEXA Mini"
"21:11:41:14","A002C006_230418_R073","","0","","","","-17","23.4","ARRI ALEXA Mini"
"21:11:41:15","A002C006_230418_R073","","0","","","","-16.8","24.3","ARRI ALEXA Mini"
"21:11:41:16","A002C006_230418_R073","","0","","","","-16.4","25.1","ARRI ALEXA Mini"
"21:11:41:17","A002C006_230418_R073","","0","","","","-16.4","26","ARRI ALEXA Mini"
"21:11:41:18","A002C006_230418_R073","","0","","","","-15.7","27.7","ARRI ALEXA Mini"
"21:11:41:19","A002C006_230418_R073","","0","","","","-14.7","28.6","ARRI ALEXA Mini"
"21:11:41:20","A002C006_230418_R073","","0","","","","-13.8","29.1","ARRI ALEXA Mini"
"21:11:41:21","A002C006_230418_R073","","0","","","","-12.6","29.2","ARRI ALEXA Mini"
"21:11:41:22","A002C006_230418_R073","","0","","","","-10.9","29.6","ARRI ALEXA Mini"
"21:11:41:23","A002C006_230418_R073","","0","","","","-9.3","30.1","ARRI ALEXA Mini"
"21:11:42:00","A002C006_230418_R073","","0","","","","-9","30.5","ARRI ALEXA Mini"
"21:11:42:01","A002C006_230418_R073","","0","","","","-10.1","30.3","ARRI ALEXA Mini"
"21:11:42:02","A002C006_230418_R073","","0","","","","-12","29.3","ARRI ALEXA Mini"
"21:11:42:03","A002C006_230418_R073","","0","","","","-12.8","27.8","ARRI ALEXA Mini"
"21:11:42:04","A002C006_230418_R073","","0","","","","-13.2","25.8","ARRI ALEXA Mini"
"21:11:42:05","A002C006_230418_R073","","0","","","","-13.5","23.8","ARRI ALEXA Mini"
"21:11:42:06","A002C006_230418_R073","","0","","","","-13.1","20","ARRI ALEXA Mini"
"21:11:42:07","A002C006_230418_R073","","0","","","","-13","18.5","ARRI ALEXA Mini"
"21:11:42:08","A002C006_230418_R073","","0","","","","-12.5","16.2","ARRI ALEXA Mini"
"21:11:42:09","A002C006_230418_R073","","0","","","","-11.5","13.1","ARRI ALEXA Mini"
"21:11:42:10","A002C006_230418_R073","","0","","","","-11.4","10.6","ARRI ALEXA Mini"
"21:11:42:11","A002C006_230418_R073","","0","","","","-12.2","6.6","ARRI ALEXA Mini"
"21:11:42:12","A002C006_230418_R073","","0","","","","-13","5.2","ARRI ALEXA Mini"
"21:11:42:13","A002C006_230418_R073","","0","","","","-13.3","4.7","ARRI ALEXA Mini"
"21:11:42:14","A002C006_230418_R073","","0","","","","-14.1","4.9","ARRI ALEXA Mini"
"21:11:42:15","A002C006_230418_R073","","0","","","","-15.4","4.1","ARRI ALEXA Mini"
"21:11:42:16","A002C006_230418_R073","","0","","","","-16.3","2.8","ARRI ALEXA Mini"
"21:11:42:17","A002C006_230418_R073","","0","","","","-18.4","-0.9","ARRI ALEXA Mini"
"21:11:42:18","A002C006_230418_R073","","0","","","","-20.2","-4.7","ARRI ALEXA Mini"
"21:11:42:19","A002C006_230418_R073","","0","","","","-21.9","-8.7","ARRI ALEXA Mini"
"21:11:42:20","A002C006_230418_R073","","0","","","","-23.3","-12.4","ARRI ALEXA Mini"
"21:11:42:21","A002C006_230418_R073","","0","","","","-24.2","-14.9","ARRI ALEXA Mini"
"21:11:42:22","A002C006_230418_R073","","0","","","","-25.3","-16.9","ARRI ALEXA Mini"
"21:11:42:23","A002C006_230418_R073","","0","","","","-27.5","-18.6","ARRI ALEXA Mini"
"21:11:43:00","A002C006_230418_R073","","0","","","","-27.5","-18.6","ARRI ALEXA Mini"
"21:11:43:01","A002C006_230418_R073","","0","","","","-30.1","-18.7","ARRI ALEXA Mini"
"21:11:43:02","A002C006_230418_R073","","0","","","","-30.4","-18.9","ARRI ALEXA Mini"
"21:11:43:03","A002C006_230418_R073","","0","","","","-30.5","-18.8","ARRI ALEXA Mini"
"21:11:43:04","A002C006_230418_R073","","0","","","","-30.7","-17.9","ARRI ALEXA Mini"
"21:11:43:05","A002C006_230418_R073","","0","","","","-31.3","-16.4","ARRI ALEXA Mini"
"21:11:43:06","A002C006_230418_R073","","0","","","","-31.8","-13.4","ARRI ALEXA Mini"
"21:11:43:07","A002C006_230418_R073","","0","","","","-31.5","-9.2","ARRI ALEXA Mini"
"21:11:43:08","A002C006_230418_R073","","0","","","","-30.7","-5.7","ARRI ALEXA Mini"
