"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"09:03:47:12","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:47:13","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:47:14","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:47:15","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.2","MPC-3626"
"09:03:47:16","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.2","MPC-3626"
"09:03:47:17","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.2","MPC-3626"
"09:03:47:18","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:47:19","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:47:20","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.2","MPC-3626"
"09:03:47:21","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.2","MPC-3626"
"09:03:47:22","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.2","MPC-3626"
"09:03:47:23","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:48:00","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:48:01","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:48:02","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:48:03","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:48:04","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:48:05","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:48:06","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.2","MPC-3626"
"09:03:48:07","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.2","MPC-3626"
"09:03:48:08","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.2","MPC-3626"
"09:03:48:09","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:48:10","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:48:11","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:48:12","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:48:13","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:48:14","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.2","MPC-3626"
"09:03:48:15","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.2","MPC-3626"
"09:03:48:16","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.2","MPC-3626"
"09:03:48:17","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.2","MPC-3626"
"09:03:48:18","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.2","MPC-3626"
"09:03:48:19","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:48:20","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:48:21","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:48:22","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:48:23","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:49:00","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:49:01","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:49:02","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.2","MPC-3626"
"09:03:49:03","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.2","MPC-3626"
"09:03:49:04","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.2","MPC-3626"
"09:03:49:05","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.2","MPC-3626"
"09:03:49:06","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.2","MPC-3626"
"09:03:49:07","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:49:08","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:49:09","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:49:10","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:49:11","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:49:12","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:49:13","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.2","MPC-3626"
"09:03:49:14","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.2","MPC-3626"
"09:03:49:15","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.2","MPC-3626"
"09:03:49:16","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.2","MPC-3626"
"09:03:49:17","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.2","MPC-3626"
"09:03:49:18","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:49:19","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:49:20","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:49:21","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:49:22","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:49:23","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.2","MPC-3626"
"09:03:50:00","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.2","MPC-3626"
"09:03:50:01","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.2","MPC-3626"
"09:03:50:02","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.2","MPC-3626"
"09:03:50:03","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.2","MPC-3626"
"09:03:50:04","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:50:05","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:50:06","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.7","-0.1","MPC-3626"
"09:03:50:07","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
